#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.342366E-01   0.766546E+07   0.762028E+07  -0.158580E+03  -0.158581E+03   0.226981E+07   0.763408E+07   0.765837E+07   0.763408E+07  -0.182370E+00   0.403418E+07   0.403383E+07   0.342228E+01
   0.353971E-01   0.742740E+07   0.738214E+07  -0.143761E+03  -0.143762E+03   0.213228E+07   0.739646E+07   0.742029E+07   0.739646E+07  -0.176694E+00   0.390868E+07   0.390833E+07   0.329026E+01
   0.365969E-01   0.719397E+07   0.714882E+07  -0.130277E+03  -0.130277E+03   0.200135E+07   0.716351E+07   0.718688E+07   0.716351E+07  -0.171129E+00   0.378565E+07   0.378530E+07   0.314705E+01
   0.378373E-01   0.696506E+07   0.692024E+07  -0.118010E+03  -0.118010E+03   0.187678E+07   0.693512E+07   0.695802E+07   0.693512E+07  -0.165673E+00   0.366502E+07   0.366468E+07   0.299336E+01
   0.391198E-01   0.674144E+07   0.669718E+07  -0.106866E+03  -0.106867E+03   0.175854E+07   0.671206E+07   0.673448E+07   0.671206E+07  -0.160344E+00   0.354720E+07   0.354687E+07   0.282999E+01
   0.404458E-01   0.652467E+07   0.648121E+07  -0.967708E+02  -0.967711E+02   0.164688E+07   0.649589E+07   0.651784E+07   0.649589E+07  -0.155180E+00   0.343302E+07   0.343270E+07   0.265792E+01
   0.418167E-01   0.631560E+07   0.627317E+07  -0.876393E+02  -0.876395E+02   0.154175E+07   0.628745E+07   0.630893E+07   0.628745E+07  -0.150201E+00   0.332292E+07   0.332260E+07   0.247842E+01
   0.432341E-01   0.611491E+07   0.607375E+07  -0.793916E+02  -0.793919E+02   0.144300E+07   0.608741E+07   0.610844E+07   0.608741E+07  -0.145422E+00   0.321725E+07   0.321696E+07   0.229302E+01
   0.446995E-01   0.592308E+07   0.588342E+07  -0.719507E+02  -0.719509E+02   0.135051E+07   0.589627E+07   0.591685E+07   0.589627E+07  -0.140856E+00   0.311628E+07   0.311600E+07   0.210350E+01
   0.462146E-01   0.574035E+07   0.570241E+07  -0.652424E+02  -0.652426E+02   0.126401E+07   0.571424E+07   0.573439E+07   0.571424E+07  -0.136507E+00   0.302012E+07   0.301986E+07   0.191188E+01
   0.477811E-01   0.556667E+07   0.553066E+07  -0.591962E+02  -0.591964E+02   0.118321E+07   0.554128E+07   0.556101E+07   0.554128E+07  -0.132375E+00   0.292876E+07   0.292851E+07   0.172039E+01
   0.494006E-01   0.540176E+07   0.536785E+07  -0.537456E+02  -0.537457E+02   0.110778E+07   0.537710E+07   0.539643E+07   0.537710E+07  -0.128453E+00   0.284202E+07   0.284180E+07   0.153147E+01
   0.510751E-01   0.524510E+07   0.521343E+07  -0.488283E+02  -0.488285E+02   0.103732E+07   0.522118E+07   0.524012E+07   0.522118E+07  -0.124728E+00   0.275965E+07   0.275945E+07   0.134765E+01
   0.528063E-01   0.509600E+07   0.506667E+07  -0.443875E+02  -0.443876E+02   0.971480E+06   0.507282E+07   0.509139E+07   0.507282E+07  -0.121184E+00   0.268128E+07   0.268109E+07   0.117151E+01
   0.545961E-01   0.495368E+07   0.492675E+07  -0.403714E+02  -0.403715E+02   0.909846E+06   0.493125E+07   0.494945E+07   0.493125E+07  -0.117802E+00   0.260648E+07   0.260632E+07   0.100569E+01
   0.564467E-01   0.481730E+07   0.479275E+07  -0.367336E+02  -0.367337E+02   0.852077E+06   0.479559E+07   0.481344E+07   0.479559E+07  -0.114562E+00   0.253482E+07   0.253467E+07   0.852651E+00
   0.583599E-01   0.468594E+07   0.466373E+07  -0.334327E+02  -0.334328E+02   0.797819E+06   0.466495E+07   0.468246E+07   0.466495E+07  -0.111441E+00   0.246579E+07   0.246567E+07   0.714663E+00
   0.611107E-01   0.451509E+07   0.449588E+07  -0.293851E+02  -0.293852E+02   0.728711E+06   0.449502E+07   0.451207E+07   0.449502E+07  -0.107381E+00   0.237602E+07   0.237592E+07   0.552007E+00
   0.638615E-01   0.435311E+07   0.433639E+07  -0.259477E+02  -0.259478E+02   0.667008E+06   0.433388E+07   0.435049E+07   0.433388E+07  -0.103532E+00   0.229088E+07   0.229080E+07   0.430637E+00
   0.666123E-01   0.419907E+07   0.418428E+07  -0.230089E+02  -0.230090E+02   0.611718E+06   0.418059E+07   0.419675E+07   0.418059E+07  -0.998699E-01   0.220989E+07   0.220982E+07   0.346974E+00
   0.693630E-01   0.404883E+07   0.403540E+07  -0.204639E+02  -0.204640E+02   0.561547E+06   0.403101E+07   0.404672E+07   0.403101E+07  -0.962967E-01   0.213085E+07   0.213079E+07   0.296327E+00
   0.721138E-01   0.389976E+07   0.388711E+07  -0.182376E+02  -0.182377E+02   0.515593E+06   0.388253E+07   0.389778E+07   0.388253E+07  -0.927496E-01   0.205239E+07   0.205233E+07   0.273086E+00
   0.748646E-01   0.375056E+07   0.373819E+07  -0.162762E+02  -0.162762E+02   0.473264E+06   0.373385E+07   0.374862E+07   0.373385E+07  -0.891978E-01   0.197382E+07   0.197376E+07   0.271143E+00
   0.776154E-01   0.360126E+07   0.358875E+07  -0.145412E+02  -0.145413E+02   0.434209E+06   0.358503E+07   0.359929E+07   0.358503E+07  -0.856425E-01   0.189518E+07   0.189511E+07   0.284280E+00
   0.803661E-01   0.345290E+07   0.343993E+07  -0.130048E+02  -0.130048E+02   0.398238E+06   0.343710E+07   0.345086E+07   0.343710E+07  -0.821088E-01   0.181700E+07   0.181693E+07   0.306560E+00
   0.831169E-01   0.330710E+07   0.329347E+07  -0.116453E+02  -0.116453E+02   0.365235E+06   0.329171E+07   0.330496E+07   0.329171E+07  -0.786356E-01   0.174016E+07   0.174008E+07   0.332623E+00
   0.858677E-01   0.316563E+07   0.315124E+07  -0.104446E+02  -0.104446E+02   0.335107E+06   0.315062E+07   0.316337E+07   0.315062E+07  -0.752650E-01   0.166559E+07   0.166550E+07   0.357915E+00
   0.886184E-01   0.303007E+07   0.301495E+07  -0.938649E+01  -0.938652E+01   0.307743E+06   0.301543E+07   0.302769E+07   0.301543E+07  -0.720355E-01   0.159414E+07   0.159404E+07   0.378848E+00
