#           k/h    P           
   0.377976E+01   0.652888E+02
   0.385611E+01   0.630675E+02
   0.393401E+01   0.609116E+02
   0.401348E+01   0.588195E+02
   0.409456E+01   0.567901E+02
   0.417727E+01   0.548218E+02
   0.426166E+01   0.529133E+02
   0.434775E+01   0.510634E+02
   0.443558E+01   0.492705E+02
   0.452519E+01   0.475335E+02
   0.461660E+01   0.458510E+02
   0.470987E+01   0.442216E+02
   0.480501E+01   0.426440E+02
   0.490208E+01   0.411168E+02
   0.500111E+01   0.396388E+02
   0.510214E+01   0.382086E+02
   0.520521E+01   0.368249E+02
   0.531036E+01   0.354864E+02
   0.541763E+01   0.341920E+02
   0.552708E+01   0.329404E+02
   0.563873E+01   0.317305E+02
   0.575264E+01   0.305610E+02
   0.586885E+01   0.294307E+02
   0.598741E+01   0.283387E+02
   0.610836E+01   0.272837E+02
   0.623176E+01   0.262646E+02
   0.635765E+01   0.252805E+02
   0.648609E+01   0.243303E+02
   0.661711E+01   0.234129E+02
   0.675079E+01   0.225274E+02
   0.688716E+01   0.216728E+02
   0.702629E+01   0.208481E+02
   0.716823E+01   0.200524E+02
   0.731304E+01   0.192849E+02
   0.746077E+01   0.185446E+02
   0.761149E+01   0.178307E+02
   0.776525E+01   0.171423E+02
   0.792212E+01   0.164787E+02
   0.808217E+01   0.158390E+02
   0.824543E+01   0.152224E+02
   0.841200E+01   0.146282E+02
   0.858193E+01   0.140556E+02
   0.875530E+01   0.135040E+02
   0.893217E+01   0.129727E+02
   0.911261E+01   0.124609E+02
   0.929670E+01   0.119681E+02
   0.948451E+01   0.114936E+02
   0.967610E+01   0.110367E+02
   0.987158E+01   0.105969E+02
   0.100710E+02   0.101735E+02
   0.102744E+02   0.976609E+01
   0.104820E+02   0.937403E+01
   0.106938E+02   0.899681E+01
   0.109098E+02   0.863391E+01
   0.111302E+02   0.828483E+01
   0.113550E+02   0.794909E+01
   0.115844E+02   0.762620E+01
   0.118184E+02   0.731572E+01
   0.120572E+02   0.701721E+01
   0.123007E+02   0.673023E+01
   0.125492E+02   0.645437E+01
   0.128027E+02   0.618924E+01
   0.130614E+02   0.593444E+01
   0.133252E+02   0.568960E+01
   0.135944E+02   0.545435E+01
   0.138691E+02   0.522835E+01
   0.141492E+02   0.501126E+01
   0.144351E+02   0.480274E+01
   0.147267E+02   0.460249E+01
   0.150242E+02   0.441019E+01
   0.153277E+02   0.422554E+01
   0.156373E+02   0.404828E+01
   0.159532E+02   0.387810E+01
   0.162755E+02   0.371476E+01
   0.166043E+02   0.355799E+01
   0.169397E+02   0.340754E+01
   0.172819E+02   0.326318E+01
   0.176310E+02   0.312466E+01
   0.179872E+02   0.299178E+01
   0.183505E+02   0.286431E+01
   0.187212E+02   0.274204E+01
   0.190994E+02   0.262477E+01
   0.194853E+02   0.251231E+01
   0.198789E+02   0.240448E+01
   0.202805E+02   0.230109E+01
   0.206902E+02   0.220197E+01
   0.211081E+02   0.210695E+01
   0.215346E+02   0.201587E+01
   0.219696E+02   0.192858E+01
   0.224134E+02   0.184492E+01
   0.228662E+02   0.176475E+01
   0.233281E+02   0.168794E+01
   0.237994E+02   0.161435E+01
   0.242802E+02   0.154385E+01
   0.247707E+02   0.147632E+01
   0.252710E+02   0.141164E+01
   0.257816E+02   0.134969E+01
   0.263024E+02   0.129036E+01
   0.268337E+02   0.123355E+01
   0.273758E+02   0.117916E+01
   0.279288E+02   0.112708E+01
   0.284930E+02   0.107723E+01
   0.290686E+02   0.102951E+01
   0.296558E+02   0.983828E+00
   0.302549E+02   0.940112E+00
   0.308661E+02   0.898276E+00
   0.314897E+02   0.858242E+00
   0.321258E+02   0.819937E+00
   0.327748E+02   0.783288E+00
   0.334369E+02   0.748226E+00
   0.341123E+02   0.714687E+00
   0.348014E+02   0.682605E+00
   0.355045E+02   0.651921E+00
   0.362217E+02   0.622575E+00
   0.369535E+02   0.594512E+00
   0.377000E+02   0.567677E+00
   0.384616E+02   0.542019E+00
   0.392386E+02   0.517488E+00
